ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Phone,IntranetDC1,Performance,Site1,16,Medium
Phone,Scanner,Software,Site5,16,Medium
Phone,Printer,Hardware,Site1,16,High
Phone,IntranetDC2,Network,Site2,16,High
Phone,IPPhone,Telecommunication,Site4,11,Medium
Email,Telecommunication,Service,Site3,11,Medium
Phone,IntranetHO,Functionality,Site1,11,Medium
Phone,AppSystem,Software,Site5,11,Medium
Email,AppIM,Service,Site1,11,Medium
Phone,PCDesktop,Hardware,Site1,11,Critical
Phone,ProcessingUnit,Software,Site4,11,Medium
Phone,ProcessingUnit,Functionality,Site4,10,Critical
Phone,Printer,Functionality,Site5,10,Medium
Phone,IntranetDC2,Functionality,Site1,10,High
Phone,IntranetHO,Service,Site4,10,Medium
Phone,PCDesktop,Functionality,Site5,10,Medium
Phone,Browser,Software,Site5,10,Medium
Phone,IPPhone,Functionality,Site4,10,High
Phone,Printer,Software,Site1,10,Medium
Email,AppBK,Service,Site29,10,Medium
Phone,Browser,Performance,Site5,10,Medium
Phone,Printer,Hardware,Site2,10,High
Phone,Browser,Software,Site1,10,Medium
Phone,Printer,Service,Site5,10,Critical
Email,AppBK,Service,Site1,9,Medium
Phone,Printer,Service,Site2,9,Medium
Email,AppIM,Software,Site2,9,High
Phone,Printer,Hardware,Site5,9,Medium
Phone,Printer,Functionality,Site1,9,Medium
Phone,IntranetDC2,Functionality,Site3,9,Medium
Phone,Printer,Service,Site5,9,Medium
Phone,AppIM,Functionality,Site5,8,Medium
Phone,Peripheral,Service,Site5,8,Medium
Phone,OSClient,Software,Site2,8,Medium
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,AppIM,Service,Site3,8,Medium
Phone,PCDesktop,Functionality,Site1,8,High
Phone,AppIM,Software,Site5,8,Medium
Phone,AppIM,Functionality,Site4,8,Medium
Phone,Notebook,Functionality,Site5,8,High
Phone,OSClient,Functionality,Site5,8,Medium
Phone,IntranetDC1,Functionality,Site5,7,Medium
Phone,IntranetHO,Functionality,Site1,7,High
Phone,Printer,Service,Site1,7,Medium
Phone,Notebook,Service,Site18,7,High
Phone,IntranetDC2,Network,Site1,6,Medium
Official Memo,Printer,Hardware,Site1,18,Medium
Phone,Peripheral,Service,Site1,16,Critical
Official Memo,Notebook,Hardware,Site1,18,Medium
Phone,Printer,Service,Site1,16,Critical
Phone,BKP Software,Functionality,Site31,16,Medium
Email,IPPhone,Telecommunication,Site5,16,High
Phone,AppSystem,Account,Site1,15,Medium
Phone,AppIM,Functionality,Site4,15,High
Phone,Peripheral,Service,Site1,15,Medium
Phone,Printer,Hardware,Site2,15,Medium
Phone,Peripheral,Software,Site5,15,Medium
Phone,ProcessingUnit,Functionality,Site1,15,Medium
Email,Peripheral,Software,Site5,15,Critical
Phone,AppIM,Service,Site3,15,Medium
Phone,Printer,Functionality,Site1,14,Medium
Phone,IntranetHO,Network,Site1,14,Medium
Phone,IPPhone,Functionality,Site1,14,High
Phone,IntranetHO,Functionality,Site4,14,High
Phone,Monitor,Functionality,Site5,11,Medium
Email,IPPhone,Telecommunication,Site1,11,Medium
Email,AppBK,Software,Site29,11,Medium
Phone,OSClient,Functionality,Site5,11,Critical
Phone,IntranetDC2,Functionality,Site1,11,Medium
Phone,ProcessingUnit,Functionality,Site3,11,High
Phone,IntranetDC1,Functionality,Site5,11,Medium
Phone,Browser,Functionality,Site31,11,High
Phone,AppSystem,Software,Site31,11,Critical
Phone,PCDesktop,Hardware,Site1,11,High
Phone,SecSoftware,Software,Site4,11,Medium
Phone,Printer,Service,Site5,11,Critical
Phone,Printer,Service,Site1,11,High
Email,VideoConf,Service,Site4,11,High
Email,VoiceConf,Functionality,Site5,11,Medium
Email,AppSystem,Service,Site1,11,High
Phone,Printer,Functionality,Site1,11,Medium
Phone,AppIM,Functionality,Site4,11,Medium
Phone,Printer,Hardware,Site5,10,Medium
Phone,Printer,Service,Site5,10,Critical
Phone,Printer,Hardware,Site4,10,Medium
Phone,Printer,Functionality,Site5,10,Medium
Email,IPPhone,Telecommunication,Site30,10,High
Official Memo,IntranetRO,Network,Site4,11,High
Email,AppSystem,Functionality,Site1,11,Medium
Phone,Monitor,Functionality,Site1,10,Medium
Email,IPPhone,Telecommunication,Site2,10,Medium
Phone,IntranetHO,Network,Site1,10,Medium
Phone,ProcessingUnit,Service,Site2,10,Critical
Official Memo,IntranetHO,Service,Site4,10,Medium
Phone,SecSoftware,Software,Site5,10,Medium
Phone,Browser,Software,Site5,10,High
Phone,Printer,Service,Site1,10,High
